City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
408,karachi,24.9056,67.0822,286.05,50,93,2.06,PK,1674082817
409,la ronge,55.1001,-105.2842,261.34,99,68,1.49,CA,1674083091
410,chernyshevskiy,63.0128,112.4714,230.84,100,100,1.1,RU,1674083092
411,liyang,29.7057,118.2862,274.69,70,44,0.41,CN,1674083093
412,shingu,33.7333,135.9833,277.1,72,4,2.42,JP,1674083093
413,portland,45.5234,-122.6762,280.68,93,100,4.47,US,1674082850
414,guerrero negro,27.9769,-114.0611,288.88,52,99,5.51,MX,1674083094
415,sangar,63.9242,127.4739,223.91,99,93,1.08,RU,1674083095
416,diapaga,12.0708,1.7889,296.04,19,5,3.09,BF,1674083096
417,fukue,32.6881,128.8419,281.73,62,100,5.73,JP,1674083096
418,lyantonde,-0.4031,31.1572,290.53,74,50,1.26,UG,1674083097
419,port keats,-14.25,129.55,300.57,84,100,3.83,AU,1674083098
420,farafangana,-22.8167,47.8333,297.23,84,61,3.06,MG,1674082943
421,saint-pierre,-21.3393,55.4781,298.66,88,75,3.09,RE,1674083099
422,hay river,60.8156,-115.7999,263.13,85,100,2.57,CA,1674082834
423,kirakira,-10.4544,161.9205,301.48,78,93,6.49,SB,1674083101
424,chicama,-7.8447,-79.1469,293.45,62,73,3.65,PE,1674083102
425,monzon,41.9108,0.1941,275.83,76,65,4.64,ES,1674083103
426,ahipara,-35.1667,173.1667,295.24,63,4,3.08,NZ,1674083105
427,eganville,45.5334,-77.0994,272.88,92,41,2.4,CA,1674083106
428,ocos,14.5094,-92.1933,301.25,59,20,4.49,GT,1674083107
429,ranghulu,46.65,124.8667,252.17,93,100,3.09,CN,1674083108
430,beloha,-25.1667,45.05,295.81,81,1,5.47,MG,1674083109
431,zilair,52.2332,57.4392,257.56,70,6,1.4,RU,1674083111
432,kikwit,-5.041,18.8162,296.0,76,92,0.99,CD,1674083111
433,faya,18.3851,42.4509,284.44,65,57,1.49,SA,1674083112
434,coihaique,-45.5752,-72.0662,302.49,20,0,0.0,CL,1674083067
435,sao sepe,-30.1606,-53.5653,298.55,68,41,6.17,BR,1674083114
436,mount pleasant,32.7941,-79.8626,294.31,90,0,2.24,US,1674083115
437,nanchang,28.6833,115.8833,278.87,55,92,0.35,CN,1674083116
438,erdaojiang,41.7764,126.0319,259.83,98,97,0.77,CN,1674083117
439,aktash,50.3,87.7333,251.49,97,97,1.12,RU,1674083118
440,cheyenne,41.14,-104.8203,270.36,89,100,10.28,US,1674083118
441,yumen,40.2833,97.2,259.74,70,46,7.16,CN,1674083119
442,khani,41.9563,42.9566,274.91,64,61,2.97,GE,1674083019
443,vila,42.0304,-8.1588,271.64,95,28,1.31,PT,1674083122
444,ochakiv,46.6128,31.5498,280.42,94,73,7.45,UA,1674083123
445,ankara,39.9199,32.8543,272.73,86,0,0.51,TR,1674082958
